flight_number,airline,origin,destination,departure_iso,arrival_iso,duration_min,price_real,base_price,seats_total,seats_available,flight_date
AI101,Air India,DEL,BOM,2025-12-10T10:00:00,2025-12-10T12:30:00,150,5500,5000,180,150,2025-12-10
6E202,IndiGo,BOM,BLR,2025-12-10T14:00:00,2025-12-10T15:30:00,90,4800,4500,180,160,2025-12-10
SG303,SpiceJet,BLR,DEL,2025-12-11T08:00:00,2025-12-11T10:45:00,165,6000,5500,180,140,2025-12-11
UK404,Vistara,DEL,CCU,2025-12-11T16:00:00,2025-12-11T18:30:00,150,5200,4800,180,170,2025-12-11
AI505,Air India,CCU,HYD,2025-12-12T09:00:00,2025-12-12T11:15:00,135,4500,4200,180,155,2025-12-12
6E606,IndiGo,HYD,MAA,2025-12-12T12:00:00,2025-12-12T13:00:00,60,3800,3500,180,165,2025-12-12
SG707,SpiceJet,MAA,DEL,2025-12-13T07:00:00,2025-12-13T09:45:00,165,5800,5300,180,145,2025-12-13
UK808,Vistara,DEL,GOI,2025-12-13T15:00:00,2025-12-13T17:30:00,150,6500,6000,180,135,2025-12-13
AI909,Air India,GOI,BOM,2025-12-14T10:30:00,2025-12-14T11:45:00,75,4200,3800,180,160,2025-12-14
6E010,IndiGo,BOM,DEL,2025-12-14T18:00:00,2025-12-14T20:15:00,135,5300,4900,180,150,2025-12-14
